"","site","lat","lon","elev","veg","MAP","MAT","firstyear","lastyear","GSstart","GSend","SM_15pct","SM_30pct","SM_50pct","SM_70pct","SM_90pct","SM_100pct","nfull","nfull_SMbin1","nfull_SMbin2","nfull_SMbin3","nfull_SMbin4","nfull_SMbin5","nfull_SMbin6","nNEE","nLE","nGPP","nWUE","niWUE","nGs"
"1","US_ALQ",46.0308,-89.6067,496,"WET",790,4.404,2019,2021,173,232,0.160145431756973,0.164237201213837,0.168437704443932,0.172958627343178,0.180103451013565,0.194609150290489,1995,300,300,403,393,401,198,2133,2134,2133,2133,1998,1996
"2","US_BRG",39.2167,-86.5406,180,"GRA",1200,11.8,2017,2020,128,163,0.36070305109024,0.378330290317535,0.392953127622604,0.404096603393555,0.41303488612175,0.423398226499557,752,117,109,154,147,150,75,779,783,779,777,755,757
"3","US_Ha1",42.5378,-72.1715,340,"DBF",1071,6.62,2016,2021,154,244,0.13900762796402,0.15158486366272,0.173471629619598,0.199655711650848,0.229500487446785,0.27284574508667,1788,271,266,357,357,359,178,1909,1959,1909,1908,1833,1834
"5","US_Ho1",45.2041,-68.7402,60,"ENF",1070,5.27,2015,2020,146,252,0.180154299736023,0.19151896238327,0.203833267092705,0.221880823373795,0.248091723024845,0.294190436601639,2238,338,336,450,442,448,224,2425,2429,2425,2393,2251,2248
"6","US_Ho2",45.2091,-68.747,61,"ENF",1064,5.13,2016,2020,150,247,0.181994214653969,0.191676706075668,0.203932583332062,0.220952108502388,0.244821920990944,0.291986614465714,1512,228,228,304,298,303,151,1634,1637,1634,1580,1518,1528
"8","US_Los",46.0827,-89.9792,480,"WET",828,4.08,2015,2021,166,228,0.0854024134576321,0.087620921432972,0.0896819159388542,0.0920493677258492,0.0956672057509422,0.104229301214218,3472,522,524,691,696,696,343,3485,3500,3485,3483,3496,3488
"9","US_Me2",44.4523,-121.5574,1253,"ENF",523,6.28,2015,2021,148,213,0.21520060300827,0.226108998060226,0.24078144133091,0.252468317747116,0.270785570144653,0.291150122880936,6157,927,923,1233,1230,1233,611,6579,6580,6579,6548,6184,6200
"10","US_Me6",44.3233,-121.6078,998,"ENF",494,7.59,2019,2021,142,194,0.23095515370369,0.23892904818058,0.247227266430855,0.251173764467239,0.260820001363754,0.271537035703659,1678,256,248,337,337,332,168,1767,1767,1767,1763,1697,1687
"11","US_MMS",39.3232,-86.4131,275,"DBF",1032,10.85,2015,2021,141,235,0.174326644837857,0.190324544906616,0.209590151906013,0.225996840000153,0.258381634950638,0.297098278999329,2285,343,344,458,455,457,228,2557,2565,2557,2547,2303,2299
"12","US_Mpj",34.4385,-106.2377,2196,"WSA",385,10.5,2015,2021,74,292,0.136000767350197,0.14399279654026,0.153484091162682,0.160914480686188,0.168928205966949,0.187976837158203,9951,1497,1490,1991,1988,1991,994,10947,10953,10947,10872,10218,10046
"13","US_Myb",38.0499,-121.765,-4,"WET",338,15.9,2015,2021,144,265,0.230156123638153,0.236961975693703,0.249653726816177,0.266088277101517,0.29460608959198,0.371081799268723,12104,1821,1811,2421,2425,2420,1206,13329,13333,13329,13323,12108,12171
"14","US_NC2",35.803,-76.6685,5,"ENF",1320,16.6,2015,2020,121,249,0.2865239828825,0.301604717969894,0.32458832859993,0.354545086622238,0.38014230132103,0.421167343854904,3464,520,521,691,696,689,347,5994,5423,5994,5375,3530,3510
"15","US_NC3",35.799,-76.656,5,"ENF",1320,16.6,2015,2019,157,249,0.282426476478577,0.292136520147324,0.304619789123535,0.319874733686447,0.348283886909485,0.407867789268494,1204,185,177,244,237,242,119,2660,2638,2660,2630,1210,1204
