"","X","SITE_ID","LOCATION_LAT","LOCATION_LONG","tz","utcoffset"
"1",110,"US-ALQ",46.0308,-89.6067,"America/Chicago",-6
"2",147,"US-BRG",39.2167,-86.5406,"America/Indiana/Indianapolis",-5
"3",222,"US-Ha1",42.5378,-72.1715,"America/New_York",-5
"4",223,"US-Ha2",42.5393,-72.1779,"America/New_York",-5
"5",232,"US-Ho1",45.2041,-68.7402,"America/New_York",-5
"6",233,"US-Ho2",45.2091,-68.747,"America/New_York",-5
"7",234,"US-Ho3",45.2072,-68.725,"America/New_York",-5
"8",285,"US-Los",46.0827,-89.9792,"America/Chicago",-6
"9",295,"US-Me2",44.4523,-121.5574,"America/Los_Angeles",-8
"10",299,"US-Me6",44.3233,-121.6078,"America/Los_Angeles",-8
"11",309,"US-MMS",39.3232,-86.4131,"America/Indiana/Indianapolis",-5
"12",314,"US-Mpj",34.4385,-106.2377,"America/Denver",-7
"13",326,"US-Myb",38.0499,-121.765,"America/Los_Angeles",-8
"14",328,"US-NC2",35.803,-76.6685,"America/New_York",-5
"15",329,"US-NC3",35.799,-76.656,"America/New_York",-5
"16",330,"US-NC4",35.7879,-75.9038,"America/New_York",-5
"17",339,"US-NR1",40.0329,-105.5464,"America/Denver",-7
"18",351,"US-OWC",41.3795,-82.5125,"America/New_York",-5
"19",353,"US-PFa",45.9459,-90.2723,"America/Chicago",-6
"20",398,"US-Ro4",44.6781,-93.0723,"America/Chicago",-6
"21",418,"US-Seg",34.3623,-106.702,"America/Denver",-7
"22",419,"US-Ses",34.3349,-106.7442,"America/Denver",-7
"23",442,"US-SRG",31.7894,-110.8277,"America/Phoenix",-7
"24",443,"US-SRM",31.8214,-110.8661,"America/Phoenix",-7
"25",453,"US-Syv",46.242,-89.3477,"America/Menominee",-6
"26",459,"US-Ton",38.4309,-120.966,"America/Los_Angeles",-8
"27",463,"US-Tw1",38.1074,-121.6469,"America/Los_Angeles",-8
"28",487,"US-UMB",45.5598,-84.7138,"America/Detroit",-5
"29",488,"US-UMd",45.5625,-84.6975,"America/Detroit",-5
"30",492,"US-Var",38.4133,-120.9508,"America/Los_Angeles",-8
"31",493,"US-Vcm",35.8884,-106.5321,"America/Denver",-7
"32",494,"US-Vcp",35.8642,-106.5967,"America/Denver",-7
"33",495,"US-Vcs",35.9193,-106.6142,"America/Denver",-7
"34",498,"US-WCr",45.8059,-90.0799,"America/Chicago",-6
"35",502,"US-Whs",31.7438,-110.0522,"America/Phoenix",-7
"36",513,"US-Wjs",34.4255,-105.8615,"America/Denver",-7
"37",514,"US-Wkg",31.7365,-109.9419,"America/Phoenix",-7
